roc,reb,atr_p,atr_m,mkt_t,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,9,15,3.5,0.42,0.28500446608433894,1.8845270723419392,0.6311827352999992,0.21321106421525582,0.0015541179591591625,0.32589499498469565,0.19391515817122618,0.27805105142344355
8,9,15,3.5,0.45,0.2836579863708337,1.8756237821327644,0.6311827352999992,0.21321106421525582,-0.010682737721435909,0.32992598703619525,0.195708566235969,0.28019389690859575
8,9,15,3.5,0.48,0.277258653354977,1.8333096511333407,0.6311827352999992,0.21321106421525582,-0.010682737721435909,0.32992598703619525,0.195708566235969,0.2440852072219828
8,9,15,4.0,0.42,0.29294916872866583,2.2950946644210304,0.7575066010333338,0.20604053291847757,0.033075975838122496,0.30215222751702897,0.16819196604784792,0.25122387246104627
8,9,15,4.0,0.45,0.2885402756502091,2.202737652618356,0.698356503558333,0.21293231718439376,0.022219221550103585,0.31381803132532404,0.17310850309054437,0.2574621177373271
8,9,15,4.0,0.48,0.28225630967825976,2.15476539493962,0.698356503558333,0.21293231718439376,0.022219221550103585,0.31381803132532404,0.17310850309054437,0.2227570815473614
8,9,15,4.5,0.42,0.2888248828551436,1.9664126610574266,0.7768602471749999,0.154540220526858,0.019231648644711274,0.3279998229537924,0.17411634854185287,0.2556319285258082
8,9,15,4.5,0.45,0.2857883301950823,1.8947223940484934,0.7173079374,0.1596893545212399,0.020863826130496532,0.3369255734356511,0.17764136856848967,0.2600110595649272
8,9,15,4.5,0.48,0.2794396531407639,1.8526318699910982,0.7173079374,0.1596893545212399,0.020863826130496532,0.3369255734356511,0.17764136856848967,0.2248074196029457
8,9,20,3.5,0.42,0.2844418584451607,1.9834223740166173,0.647561666458333,0.21690738440976465,0.004088554135570188,0.28537749746408103,0.19061533278894638,0.2985780579313251
8,9,20,3.5,0.45,0.2830925814278471,1.9740138212828002,0.647561666458333,0.21690738440976465,-0.007994125402703833,0.2888534091875803,0.19240645296194536,0.30092226056297267
8,9,20,3.5,0.48,0.2766797209177436,1.9292967353844213,0.647561666458333,0.21690738440976465,-0.007994125402703833,0.2888534091875803,0.19240645296194536,0.2641362514087102
8,9,20,4.0,0.42,0.2945470796257825,2.252059199321073,0.7156277386583332,0.20798915750218594,0.04957377602206492,0.30717890251451685,0.182112672654841,0.2477377216458898
8,9,20,4.0,0.45,0.29016409113791997,2.1604064371694,0.6564776411833328,0.21511487187707834,0.03893976829082857,0.31911062970105464,0.18744684029555403,0.2538275543389177
8,9,20,4.0,0.48,0.28391792948063244,2.113900862344186,0.6564776411833328,0.21511487187707834,0.03893976829082857,0.31911062970105464,0.18744684029555403,0.21947142863936664
8,9,20,4.5,0.42,0.3003387391963559,2.2745525660789925,0.770785248525,0.19807182151546865,0.04014607241375079,0.3215604800663747,0.1922155407509254,0.23914046249104426
8,9,20,4.5,0.45,0.2960274636492859,2.184502941601747,0.71123293875,0.20469389514772351,0.02949738232344412,0.33394119826615865,0.19773487838925208,0.24485446843128544
8,9,20,4.5,0.48,0.2899155085271685,2.1394004238197435,0.71123293875,0.20469389514772351,0.02949738232344412,0.33394119826615865,0.19773487838925208,0.2116182750608313
8,11,10,3.5,0.42,0.30160754487964914,1.522731999246335,0.733746604583333,0.3174245805489748,0.05752140289068075,0.2747469142205816,0.2905016056787637,0.14484903155499396
8,11,10,3.5,0.45,0.2956884503885464,1.3961465281564467,0.6134277153916667,0.34107984391090773,0.06250346452676037,0.2886947084597653,0.3018779530569118,0.14924988440989995
8,11,10,3.5,0.48,0.3011005680371637,1.4217008210453377,0.6134277153916667,0.34107984391090773,0.06250346452676037,0.2886947084597653,0.3018779530569118,0.17700426584998685
8,11,10,4.0,0.42,0.3132036293078886,1.8146170727394462,0.7541791221666665,0.30062964694662453,0.08564576599777962,0.27607788757336227,0.3269780962671638,0.1407041460752827
