roc,reb,atr_p,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,5,20,3.0,0.35,14,0.24187561373191913,1.3939073484621312,-0.17352345118115306,0.6333027226499994,0.2800436334144576,-0.003409229240706746,0.16860646153180903,0.24568288848628428,0.1018867115282962
8,5,20,3.0,0.35,20,0.24437548684658705,1.4083138917717046,-0.17352345118115306,0.6333027226499994,0.2800436334144576,0.017153114028779504,0.16520446430347646,0.2414034857475602,0.09905726785516111
8,5,20,3.0,0.4,10,0.2306286522678458,1.291773416648903,-0.17853645948694222,0.5723907892833333,0.29039337219500894,0.007960639831356753,0.1736151183624579,0.24938847389109986,0.05855039208525392
8,5,20,3.0,0.4,14,0.23719102486360688,1.3669104852921976,-0.17352345118115306,0.6333027226499994,0.2800436334144576,0.018384749353656415,0.166999908993144,0.24119797995496328,0.06249560900723172
8,5,20,3.0,0.4,20,0.24621405485773562,1.4189093934092853,-0.17352345118115306,0.6333027226499994,0.2800436334144576,0.038947092623142776,0.15613741956018878,0.23863076807418704,0.09814171784463488
8,5,20,3.0,0.42,10,0.22713423162919244,1.2722008282336559,-0.17853645948694222,0.5723907892833333,0.29039337219500894,-0.005448597607103922,0.1759559187870794,0.25226539031834094,0.051018766581366615
8,5,20,3.0,0.42,14,0.23588783515883627,1.3594003205513516,-0.17352345118115306,0.6333027226499994,0.2800436334144576,0.008981167343657726,0.16855632787459296,0.24313307874420031,0.06289759900668046
8,5,20,3.0,0.42,20,0.2465534411284367,1.4208652458798932,-0.17352345118115306,0.6333027226499994,0.2800436334144576,0.04148953476321138,0.1557562632049101,0.23812380952866286,0.09797387087446707
8,7,10,2.0,0.35,10,0.27695609540235666,1.1239768941037096,-0.24640728546578275,0.6378628882749999,0.20675740086044603,-0.16671270115602654,0.2326296408338493,0.5672801258455924,0.26138354047937407
8,7,10,2.0,0.35,14,0.2829798601824507,1.2996723521699707,-0.21773169192218278,0.6910451485166664,0.200451808163165,-0.138873244699531,0.21934896191453945,0.5405373679348702,0.2559629318624743
8,7,10,2.0,0.35,20,0.2849460634904539,1.3435500362472035,-0.21208444479400537,0.6910451485166664,0.200451808163165,-0.13298787943464407,0.21786190581342235,0.5375077755320155,0.26237857067064896
8,7,10,2.0,0.4,10,0.27392509619284255,1.1125285738570732,-0.2462184816010252,0.6378628882749999,0.20675740086044603,-0.15941287695068995,0.2212770984303838,0.5683661298172715,0.2458663017269005
8,7,10,2.0,0.4,14,0.28001595870840523,1.2871483724468766,-0.2175475374110082,0.6910451485166664,0.200451808163165,-0.13176076058466657,0.20873183883789603,0.5415233034895919,0.24091721041053238
8,7,10,2.0,0.4,20,0.2849950067186253,1.3593723886172804,-0.20965190194021457,0.6910451485166664,0.200451808163165,-0.12353220290172795,0.206772198127958,0.5372815725052977,0.2623063587272805
8,7,10,2.0,0.42,10,0.2761516886289188,1.2662820935232142,-0.2180807025870308,0.6378628882749999,0.20675740086044603,-0.12292596336417416,0.21207181126891173,0.5487222571896151,0.23014882121624747
8,7,10,2.0,0.42,14,0.2843128177668395,1.486146729913379,-0.19130871268909688,0.6910451485166664,0.200451808163165,-0.09334694614706462,0.19988811841996523,0.5222745010526606,0.23526212509866307
8,7,10,2.0,0.42,20,0.28636673326843454,1.4482591943721144,-0.19773168669064617,0.6910451485166664,0.200451808163165,-0.11110936763571999,0.20388241972169685,0.5310021563758633,0.2602933159403198
