ROC,ATR_P,ATR_M,REB,MKT_T,MKT_S,Full_CAGR,Full_MaxDD,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
12,15,2.0,9,0.42,20,0.24911994032214246,-0.13975838856122066,1.782504384078644,0.7289078715064077,5.707414943353827,0.4956166723810542,4.11258348736683,0.009451668049015094,0.12638962544291177,0.00984998547902416,0.081835519680905,0.3159045540259984,2.2603620239054023,0.16731510046608156,2.331361769749779
12,15,2.0,9,0.45,14,0.24832726483394474,-0.14185690861344602,1.7505475571205762,0.7289078715064077,5.707414943353827,0.4956166723810542,4.11258348736683,-0.0021828308422602305,-0.027339309027643602,0.00426632511655356,0.034921074280825866,0.3213044759139838,2.2649899751412508,0.17825576707522917,2.4533214763435196
12,15,2.0,9,0.45,20,0.24839099775727402,-0.14038854565286074,1.7693109975757662,0.7289078715064077,5.707414943353827,0.4956166723810542,4.11258348736683,0.00420118300233141,0.05617907265978576,0.009900889111916111,0.0818892060432856,0.3175237583073769,2.261749751952834,0.16796892167681188,2.3317866091163157
12,15,2.0,14,0.42,14,0.1926483162556789,-0.22629281212731955,0.8513231792236018,0.796045189618249,8.854657719821923,0.15169260778503157,0.766682130279621,-0.14230353839807663,-0.7901911634555657,0.295068416821203,1.303923063429819,0.10841751825098123,0.8038463986834181,0.2690967495446728,2.3357124400646474
12,15,2.0,14,0.42,20,0.2022012144361942,-0.23540212882200373,0.8589608575251503,0.796045189618249,8.854657719821923,0.15169260778503157,0.766682130279621,-0.15194419066261045,-0.8031012692293772,0.2983894530425448,1.2675732990850228,0.10936608035522699,0.8046621911502077,0.33951883387911397,3.0788120628690883
12,15,2.0,14,0.45,14,0.19086067529394657,-0.2351531443605898,0.8116441556115277,0.781934359329153,8.64733574147756,0.15252985961453036,0.7667193656890691,-0.1512633919579196,-0.8014644368904795,0.2996029286579722,1.274075792065759,0.10971150514823447,0.8049592668988317,0.2720466028683266,2.341986300295703
12,15,2.0,14,0.45,20,0.201122106475784,-0.2431780575405067,0.8270569660351968,0.796045189618249,8.854657719821923,0.15169260778503157,0.766682130279621,-0.16017267178993688,-0.8131718150929658,0.3012840776353183,1.2389443384921057,0.11018902586694224,0.8053699489949693,0.34186481047851003,3.084837418226085
12,15,2.5,5,0.42,14,0.2511047081117348,-0.19612349534555543,1.2803397556692862,0.8341459138716203,5.595167671240505,0.25582246649577045,1.3043947949481003,-0.03250733358924951,-0.23131488988586313,0.2072112570882978,1.6094508760466564,0.3565114389923456,2.129131273581981,0.13386704361667245,0.946615971337116
12,15,2.5,5,0.42,20,0.2579426948561696,-0.19612349534555543,1.3152054750079445,0.8341459138716203,5.595167671240505,0.25582246649577045,1.3043947949481003,-0.020371803910318897,-0.1611399513491465,0.21193803256739407,1.6697250729926643,0.35075533453440433,2.124735846064021,0.15599938064723995,1.046388710617274
12,15,2.5,5,0.45,14,0.24676310420943315,-0.19900814246146512,1.2399648635342397,0.7958820763154832,5.239744514854036,0.25959119901251193,1.3044250139804094,-0.05692642442330664,-0.3445877144446326,0.2150318591841931,1.6259604826288312,0.3676768560915127,2.1376571890911005,0.13692501864756168,0.9468218556047658
