sma,roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
150,15,10,4.0,9,0.45,20,0.3265786716497623,1.4388867829833856,0.3768112235083332,0.6960227764453617,-0.08982634303020909,0.30407802873291545,0.3689621628595341,0.35929380594796534
150,15,10,4.0,14,0.42,14,0.27968694830327445,0.7607113444130889,0.3070888290416667,0.43080254882803337,-0.0596936696155701,0.18429935392941177,0.6232525540098997,0.28074711044197165
150,15,10,4.0,14,0.42,20,0.28260921667345706,0.7686595261716705,0.3070888290416667,0.43080254882803337,-0.05307485710938131,0.18301113925074497,0.6195232915383941,0.29292977691996236
150,15,10,4.0,14,0.45,14,0.27200171665147677,0.7035240531221262,0.23487975037499997,0.4560540118603631,-0.10209618659146213,0.2009269026704832,0.670718838483694,0.2936198691446794
150,15,10,4.0,14,0.45,20,0.2788878864306539,0.7585380022708188,0.3070888290416667,0.43080254882803337,-0.09145087424554865,0.19074130861298366,0.641788705520344,0.2993787571086528
150,15,10,5.0,5,0.42,14,0.2574381248902944,1.0742597981478845,0.6283320247166659,0.22410217948356093,-0.18557965844243085,0.21777086722459194,0.4410434212543317,0.284641566580103
150,15,10,5.0,5,0.42,20,0.2647526479264892,1.3100410013700536,0.6037204296583325,0.22744061506463153,-0.1466988302713974,0.21037337546386103,0.42870318397112084,0.3023353188717097
150,15,10,5.0,5,0.45,14,0.25016222682884814,0.9248049847250627,0.5464984145833323,0.23560074289743893,-0.21476477038546038,0.2352544605577127,0.46961315341771415,0.29724211355608166
150,15,10,5.0,5,0.45,20,0.26236483942831,1.178694436202929,0.6037204296583325,0.22744061506463153,-0.16756255631899408,0.21564605091437605,0.43751447217356043,0.30667581705908353
150,15,10,5.0,9,0.42,14,0.3300429273397778,1.591843810073721,0.4532753658083335,0.5903494468838903,-0.061941682606288184,0.31804449227956333,0.35428436921718265,0.3550611961163883
150,15,10,5.0,9,0.42,20,0.33339129830333425,1.6079934777400748,0.4532753658083335,0.5903494468838903,-0.07330269501398512,0.3219436159778264,0.3575573301188688,0.3843584092523711
