roc,reb,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Cal_2020,Ret_2021,Cal_2021,Ret_2022,Cal_2022,Ret_2023,Cal_2023,Ret_2024,Cal_2024,Ret_2025,Cal_2025
10,7,5.0,0.45,20,0.2992676908561842,1.4369294362882847,0.8248320792166661,10.783784963496437,0.13509735555608837,0.6961517386353749,-0.0035259591501973775,-0.021802780924918726,0.05981427772425474,0.33014289464637064,0.5339744695593791,2.5747005179098355,0.3226228998238292,3.588476965846127
10,9,4.0,0.3,5,0.33813408342333195,2.3391445262564003,0.7426225601333325,10.201611214754317,0.5099862558965889,3.5909498667817115,0.05299077936280616,0.9043284095152553,0.15520687205099293,1.5788880125962745,0.3027019030029481,6.492128091913833,0.238837583161837,4.207307602752966
10,9,4.0,0.3,10,0.3390680510108821,2.430815508521763,0.8084715830749993,11.683048529658242,0.492109161408981,3.5905957451208126,0.03575085329904981,0.6244389950873199,0.15406505975184892,1.5785163036644863,0.3007640873428208,6.483220904524762,0.23765921461706152,4.206398441804905
10,9,4.0,0.3,14,0.33925140707303325,2.4375313100507303,0.8126433741833323,11.780289753318065,0.4910187014686498,3.590574048553353,0.035697510261498255,0.6244169724262402,0.15384243193160763,1.5784438284582,0.30038582224770605,6.481482209154178,0.23742878867206296,4.206220658133358
10,9,4.0,0.3,20,0.3366967153154583,2.4191757748435414,0.8126433741833323,11.780289753318065,0.4910187014686498,3.590574048553353,0.05535861276524123,0.9684356377031302,0.15096783965266236,1.577508012910448,0.29548884687320087,6.4589733698124805,0.20853607416916198,3.739303384576089
10,9,4.0,0.35,5,0.33127817549854854,2.2917167149798385,0.7426225601333325,10.201611214754317,0.5099862558965889,3.5909498667817115,-0.0033403758312027243,-0.05698748725491589,0.16400755733154493,1.3796758270153924,0.31751381701142845,6.560212204932262,0.24773100554090988,4.214169155897261
10,9,4.0,0.35,10,0.33584652934204495,2.4077200714544795,0.8084715830749993,11.683048529658242,0.492109161408981,3.5905957451208126,0.009653458274480942,0.1426209309443007,0.15805973889219405,1.4832595182103487,0.3075273766437303,6.514308559359879,0.24175685788521806,4.209559933156711
10,9,4.0,0.35,14,0.33799681791517,2.42851705015443,0.8126433741833323,11.780289753318065,0.4910187014686498,3.590574048553353,0.025507444668459334,0.44614722185195044,0.1553757924732675,1.482259578467474,0.3029882683993279,6.493444375687792,0.23901142463178293,4.20744172851151
10,9,4.0,0.35,20,0.33756531983362037,2.4254167237826736,0.8126433741833323,11.780289753318065,0.4910187014686498,3.590574048553353,0.062376515556287204,1.091249212664503,0.14996761607685505,1.4802446708174966,0.29377934638009573,6.451115734962853,0.20760129416558337,3.738583222094484
10,9,4.0,0.4,5,0.3297350408893618,2.2810416158067186,0.7426225601333325,10.201611214754317,0.5099862558965889,3.5909498667817115,-0.017943407969787106,-0.20261391817082147,0.1674415243784546,1.3062913686545583,0.32026295327176313,6.572849020022517,0.24762358003011387,4.186054431098723
